,xycoordinate,descrption,details,grade,timestamp,player_id,teamid,home_teamid,away_teamid,name,home_score,away_score,block,attack_combo,match_id,start_coordinate,mid_coordinate,end_coordinate,set_number,net_let,dig_details,start_zone,start_subzone
685,8B,set,~,#,1007,-126197,4585,4683,4585,MARIA Maria Elisa,11,17,,,104022,3153,,,1,,,8.0,B
686,7D,attack,hard,/,1009,-126222,4585,4683,4585,Carolina Carolina Solberg,11,17,jump_angle,X1,104022,4719,,7490,1,,,7.0,D
687,,block,,#,1009,-126558,4683,4683,4585,Alexandra Klineman,11,17,,,104022,4873,,,1,,,,
688,,point,,,,,4683,4683,4585,,12,17,,,104022,,,,1,,,,
689,6D,serve,jump_float,!,1032,-126559,4683,4683,4585,April Ross,12,17,,,104022,0951,,8456,1,,,6.0,D
690,6D,reception,right,!,1033,-126222,4585,4683,4585,Carolina Carolina Solberg,12,17,,,104022,0951,,8456,1,,,6.0,D
691,8A,set,~,-,1035,-126197,4585,4683,4585,MARIA Maria Elisa,12,17,,,104022,2960,,,1,,,8.0,A
692,5A,attack,pokey,#,1037,-126222,4585,4683,4585,Carolina Carolina Solberg,12,17,angle,X3,104022,4744,,8875,1,,,5.0,A
694,,point,,,,,4585,4683,4585,,12,18,,,104022,,,,1,,,,
695,1D,serve,jump_float,#,1057,-126197,4585,4683,4585,MARIA Maria Elisa,12,18,,,104022,0914,,8424,1,,,1.0,D
696,1D,reception,right,=,1058,-126558,4683,4683,4585,Alexandra Klineman,12,18,,,104022,0914,,8424,1,,,1.0,D
697,,point,,,,,4585,4683,4585,,12,19,,,104022,,,,1,,,,
698,1D,serve,jump_float,-,1082,-126197,4585,4683,4585,MARIA Maria Elisa,12,19,,,104022,0817,,8426,1,,,1.0,D
699,1D,reception,right,+,1083,-126558,4683,4683,4585,Alexandra Klineman,12,19,,,104022,0817,,8426,1,,,1.0,D
700,9A,attack,shot,#,1085,-126559,4683,4683,4585,April Ross,12,19,angle,C3,104022,4454,,7505,1,let,,9.0,A
701,,dig,,=,1085,-126197,4585,4683,4585,MARIA Maria Elisa,12,19,,,104022,4454,,7505,1,,emergency,,
702,,point,,,,,4683,4683,4585,,13,19,,,104022,,,,1,,,,
703,1C,serve,jump_float,+,1105,-126558,4683,4683,4585,Alexandra Klineman,13,19,,,104022,0853,,8133,1,,,1.0,C
704,1C,reception,middle,-,1106,-126197,4585,4683,4585,MARIA Maria Elisa,13,19,,,104022,0853,,8133,1,,,1.0,C
705,6B,set,~,#,1108,-126222,4585,4683,4585,Carolina Carolina Solberg,13,19,,,104022,2053,,,1,,,6.0,B
706,2A,attack,shot,+,1110,-126197,4585,4683,4585,MARIA Maria Elisa,13,19,peel,V5,104022,4683,,5921,1,,,2.0,A
707,,dig,,-,1111,-126558,4683,4683,4585,Alexandra Klineman,13,19,,,104022,4683,,5921,1,,emergency,,
708,,free_ball,,-,1112,-126222,4585,4683,4585,Carolina Carolina Solberg,13,19,,,104022,4410,,,1,,,,
709,4C,set,~,-,1114,-126197,4585,4683,4585,MARIA Maria Elisa,13,19,,,104022,4313,,,1,,,4.0,C
710,4B,attack,hard,=,1116,-126222,4585,4683,4585,Carolina Carolina Solberg,13,19,peel,V1,104022,4302,,5164,1,,,4.0,B
712,,point,,,,,4683,4683,4585,,14,19,,,104022,,,,1,,,,
713,8A,serve,jump_float,-,1140,-126558,4683,4683,4585,Alexandra Klineman,14,19,,,104022,0951,,7543,1,let,,8.0,A
714,8A,reception,low,#,1142,-126197,4585,4683,4585,MARIA Maria Elisa,14,19,,,104022,0951,,7543,1,,,8.0,A
715,3B,set,~,#,1143,-126222,4585,4683,4585,Carolina Carolina Solberg,14,19,,,104022,4651,,,1,,,3.0,B
716,9C,attack,shot,#,1145,-126197,4585,4683,4585,MARIA Maria Elisa,14,19,jump_angle,X4,104022,4869,,6632,1,,,9.0,C
718,,point,,,,,4585,4683,4585,,14,20,,,104022,,,,1,,,,
719,1D,serve,jump_float,+,1167,-126222,4585,4683,4585,Carolina Carolina Solberg,14,20,,,104022,0619,,8527,1,,,1.0,D
720,1D,reception,middle,-,1168,-126558,4683,4683,4585,Alexandra Klineman,14,20,,,104022,0619,,8527,1,,,1.0,D
721,6C,set,~,#,1170,-126559,4683,4683,4585,April Ross,14,20,,,104022,1843,,,1,,,6.0,C
722,9B,attack,hard,#,1171,-126558,4683,4683,4585,Alexandra Klineman,14,20,angle,V4,104022,4670,,6913,1,,,9.0,B
724,,point,,,,,4683,4683,4585,,15,20,,,104022,,,,1,,,,
725,1B,serve,jump_float,!,1201,-126559,4683,4683,4585,April Ross,15,20,,,104022,0675,,7923,1,,,1.0,B
726,1B,reception,low,!,1202,-126197,4585,4683,4585,MARIA Maria Elisa,15,20,,,104022,0675,,7923,1,,,1.0,B
727,8B,set,~,#,1203,-126222,4585,4683,4585,Carolina Carolina Solberg,15,20,,,104022,3163,,,1,,,8.0,B
728,6A,attack,hard,#,1205,-126197,4585,4683,4585,MARIA Maria Elisa,15,20,angle,V5,104022,4187,,8947,1,,,6.0,A
729,,block,,=,1205,-126558,4683,4683,4585,Alexandra Klineman,15,20,,,104022,4832,,,1,,,,
730,,point,,,,,4585,4683,4585,,15,21,,,104022,,,,1,,,,
732,6D,serve,jump_serve,=,1308,-126197,4585,4683,4585,MARIA Maria Elisa,15,21,,,104022,0586,,9750,2,,,6.0,D
734,,point,,,,,4683,4683,4585,,01,00,,,104022,,,,2,,,,
735,6A,serve,jump_float,!,1330,-126559,4683,4683,4585,April Ross,01,00,,,104022,0954,,8539,2,,,6.0,A
736,6A,reception,middle,!,1331,-126197,4585,4683,4585,MARIA Maria Elisa,01,00,,,104022,0954,,8539,2,,,6.0,A
737,8A,set,~,#,1332,-126222,4585,4683,4585,Carolina Carolina Solberg,01,00,,,104022,2557,,,2,,,8.0,A
738,5C,attack,shot,-,1334,-126197,4585,4683,4585,MARIA Maria Elisa,01,00,angle,V5,104022,4885,,8383,2,,,5.0,C
739,,dig,,#,1335,-126559,4683,4683,4585,April Ross,01,00,,,104022,4885,,8383,2,,emergency,,
740,4B,set,~,-,1336,-126558,4683,4683,4585,Alexandra Klineman,01,00,,,104022,5031,,,2,,,4.0,B
741,7C,attack,pokey,#,1338,-126559,4683,4683,4585,April Ross,01,00,angle,V2,104022,4832,5341,6477,2,,,7.0,C
742,,block,,=,1338,-126222,4585,4683,4585,Carolina Carolina Solberg,01,00,,,104022,4860,,,2,,,,
743,,point,,,,,4683,4683,4585,,02,00,,,104022,,,,2,,,,
744,1D,serve,jump_float,+,1368,-126559,4683,4683,4585,April Ross,02,00,,,104022,0954,,8528,2,,,1.0,D
745,1D,reception,right,-,1369,-126197,4585,4683,4585,MARIA Maria Elisa,02,00,,,104022,0954,,8528,2,,,1.0,D
746,7A,set,~,#,1370,-126222,4585,4683,4585,Carolina Carolina Solberg,02,00,,,104022,2536,,,2,,,7.0,A
747,5A,attack,shot,-,1372,-126197,4585,4683,4585,MARIA Maria Elisa,02,00,peel,V3,104022,4349,,8775,2,,,5.0,A
748,,dig,,+,1373,-126559,4683,4683,4585,April Ross,02,00,,,104022,4349,,8775,2,,emergency,,
749,6D,set,~,-,1374,-126558,4683,4683,4585,Alexandra Klineman,02,00,,,104022,1141,,,2,,,6.0,D
750,3B,attack,hard,=,1376,-126559,4683,4683,4585,April Ross,02,00,peel,J1,104022,1910,,5145,2,let,,3.0,B
752,,point,,,,,4585,4683,4585,,02,01,,,104022,,,,2,,,,
753,6D,serve,jump_float,-,1404,-126222,4585,4683,4585,Carolina Carolina Solberg,02,01,,,104022,0629,,8554,2,,,6.0,D
754,6D,reception,right,+,1405,-126559,4683,4683,4585,April Ross,02,01,,,104022,0629,,8554,2,,,6.0,D
755,3A,set,~,#,1407,-126558,4683,4683,4585,Alexandra Klineman,02,01,,,104022,4262,,,2,,,3.0,A
756,5C,attack,hard,#,1408,-126559,4683,4683,4585,April Ross,02,01,jump_line,X3,104022,4850,,7991,2,,,5.0,C
758,,point,,,,,4683,4683,4585,,03,01,,,104022,,,,2,,,,
759,1C,serve,jump_float,!,1428,-126558,4683,4683,4585,Alexandra Klineman,03,01,,,104022,0719,,8224,2,,,1.0,C
760,1C,reception,middle,!,1428,-126197,4585,4683,4585,MARIA Maria Elisa,03,01,,,104022,0719,,8224,2,,,1.0,C
761,2C,set,~,#,1430,-126222,4585,4683,4585,Carolina Carolina Solberg,03,01,,,104022,4366,,,2,,,2.0,C
762,6A,attack,hard,#,1432,-126197,4585,4683,4585,MARIA Maria Elisa,03,01,line,V5,104022,4380,,8541,2,,,6.0,A
763,,dig,,=,1432,-126559,4683,4683,4585,April Ross,03,01,,,104022,4380,,8541,2,,on_spike,,
764,,point,,,,,4585,4683,4585,,03,02,,,104022,,,,2,,,,
765,6A,serve,jump_float,-,1452,-126197,4585,4683,4585,MARIA Maria Elisa,03,02,,,104022,0886,,8640,2,,,6.0,A
766,6A,reception,left,#,1453,-126558,4683,4683,4585,Alexandra Klineman,03,02,,,104022,0886,,8640,2,,,6.0,A
767,3C,set,~,#,1455,-126559,4683,4683,4585,April Ross,03,02,,,104022,4343,,,2,,,3.0,C
768,1C,attack,hard,/,1456,-126558,4683,4683,4585,Alexandra Klineman,03,02,angle,X3,104022,4353,,8131,2,,,1.0,C
769,,block,,#,1456,-126222,4585,4683,4585,Carolina Carolina Solberg,03,02,,,104022,4656,,,2,,,,
770,,point,,,,,4585,4683,4585,,03,03,,,104022,,,,2,,,,
771,6A,serve,jump_float,!,1477,-126197,4585,4683,4585,MARIA Maria Elisa,03,03,,,104022,0982,,8438,2,,,6.0,A
772,6A,reception,right,!,1478,-126558,4683,4683,4585,Alexandra Klineman,03,03,,,104022,0982,,8438,2,,,6.0,A
773,7B,set,~,#,1480,-126559,4683,4683,4585,April Ross,03,03,,,104022,3033,,,2,,,7.0,B
774,7B,attack,pokey,#,1481,-126558,4683,4683,4585,Alexandra Klineman,03,03,line,X3,104022,4850,,6875,2,,,7.0,B
776,,point,,,,,4683,4683,4585,,04,03,,,104022,,,,2,,,,
777,6A,serve,jump_float,!,1513,-126559,4683,4683,4585,April Ross,04,03,,,104022,0982,,8440,2,,,6.0,A
778,6A,reception,left,!,1514,-126197,4585,4683,4585,MARIA Maria Elisa,04,03,,,104022,0982,,8440,2,,,6.0,A
779,3B,set,~,#,1515,-126222,4585,4683,4585,Carolina Carolina Solberg,04,03,,,104022,4761,,,2,,,3.0,B
780,4C,attack,hard,=,1517,-126197,4585,4683,4585,MARIA Maria Elisa,04,03,jump_angle,V5,104022,4383,,5380,2,let,,4.0,C
782,,point,,,,,4683,4683,4585,,05,03,,,104022,,,,2,,,,
783,9C,serve,jump_float,-,1539,-126559,4683,4683,4585,April Ross,05,03,,,104022,0778,,6835,2,,,9.0,C
784,9C,reception,low,+,1540,-126197,4585,4683,4585,MARIA Maria Elisa,05,03,,,104022,0778,,6835,2,,,9.0,C
785,3A,set,~,#,1541,-126222,4585,4683,4585,Carolina Carolina Solberg,05,03,,,104022,3958,,,2,,,3.0,A
786,5D,attack,hard,#,1543,-126197,4585,4683,4585,MARIA Maria Elisa,05,03,angle,X5,104022,4885,,8386,2,,,5.0,D
787,,dig,,=,1543,-126559,4683,4683,4585,April Ross,05,03,,,104022,4885,,8386,2,,emergency,,
788,,point,,,,,4585,4683,4585,,05,04,,,104022,,,,2,,,,
789,6C,serve,jump_float,/,1565,-126222,4585,4683,4585,Carolina Carolina Solberg,05,04,,,104022,0821,,8056,2,,,6.0,C
790,6C,reception,left,/,1565,-126558,4683,4683,4585,Alexandra Klineman,05,04,,,104022,0821,,8056,2,,,6.0,C
791,,free_ball,,+,1567,-126222,4585,4683,4585,Carolina Carolina Solberg,05,04,,,104022,3871,,,2,,,,
792,2C,set,~,#,1569,-126197,4585,4683,4585,MARIA Maria Elisa,05,04,,,104022,4465,,,2,,,2.0,C
793,5A,attack,hard,#,1571,-126222,4585,4683,4585,Carolina Carolina Solberg,05,04,angle,X5,104022,4885,,8364,2,,,5.0,A
794,,block,,=,1571,-126558,4683,4683,4585,Alexandra Klineman,05,04,,,104022,4728,,,2,,,,
795,,point,,,,,4585,4683,4585,,05,05,,,104022,,,,2,,,,
796,1C,serve,jump_float,-,1604,-126222,4585,4683,4585,Carolina Carolina Solberg,05,05,,,104022,0917,,8226,2,,,1.0,C
797,1C,reception,right,#,1605,-126558,4683,4683,4585,Alexandra Klineman,05,05,,,104022,0917,,8226,2,,,1.0,C
798,6D,attack,hard,#,1606,-126559,4683,4683,4585,April Ross,05,05,angle,C3,104022,4850,,8752,2,,,6.0,D
799,,dig,,=,1607,-126197,4585,4683,4585,MARIA Maria Elisa,05,05,,,104022,4850,,8752,2,,emergency,,
800,,point,,,,,4683,4683,4585,,06,05,,,104022,,,,2,,,,
801,1D,serve,jump_float,-,1625,-126558,4683,4683,4585,Alexandra Klineman,06,05,,,104022,0950,,8631,2,,,1.0,D
802,1D,reception,left,+,1626,-126197,4585,4683,4585,MARIA Maria Elisa,06,05,,,104022,0950,,8631,2,,,1.0,D
803,3A,set,~,#,1628,-126222,4585,4683,4585,Carolina Carolina Solberg,06,05,,,104022,3856,,,2,,,3.0,A
804,9B,attack,hard,-,1630,-126197,4585,4683,4585,MARIA Maria Elisa,06,05,angle,X5,104022,4680,,6916,2,let,,9.0,B
805,,dig,,#,1630,-126559,4683,4683,4585,April Ross,06,05,,,104022,4680,,6916,2,,emergency,,
806,5C,attack,hard,#,1632,-126558,4683,4683,4585,Alexandra Klineman,06,05,angle,C3,104022,4353,,7988,2,,,5.0,C
807,,block,,=,1632,-126222,4585,4683,4585,Carolina Carolina Solberg,06,05,,,104022,4840,,,2,,,,
808,,point,,,,,4683,4683,4585,,07,05,,,104022,,,,2,,,,
809,1C,serve,jump_float,!,1652,-126558,4683,4683,4585,Alexandra Klineman,07,05,,,104022,0954,,8132,2,,,1.0,C
810,1C,reception,middle,!,1653,-126197,4585,4683,4585,MARIA Maria Elisa,07,05,,,104022,0954,,8132,2,,,1.0,C
811,2C,set,~,#,1655,-126222,4585,4683,4585,Carolina Carolina Solberg,07,05,,,104022,4569,,,2,,,2.0,C
812,5D,attack,shot,#,1656,-126197,4585,4683,4585,MARIA Maria Elisa,07,05,jump_angle,V5,104022,4885,,8782,2,,,5.0,D
814,,point,,,,,4585,4683,4585,,07,06,,,104022,,,,2,,,,
815,6A,serve,jump_float,-,1681,-126197,4585,4683,4585,MARIA Maria Elisa,07,06,,,104022,0954,,8340,2,,,6.0,A
816,6A,reception,middle,#,1682,-126558,4683,4683,4585,Alexandra Klineman,07,06,,,104022,0954,,8340,2,,,6.0,A
817,3C,set,~,#,1684,-126559,4683,4683,4585,April Ross,07,06,,,104022,4748,,,2,,,3.0,C
818,2B,attack,shot,-,1685,-126558,4683,4683,4585,Alexandra Klineman,07,06,jump_line,X4,104022,4668,,5716,2,,,2.0,B
819,,dig,,#,1686,-126197,4585,4683,4585,MARIA Maria Elisa,07,06,,,104022,4668,,5716,2,,emergency,,
820,5A,attack,pokey,#,1687,-126222,4585,4683,4585,Carolina Carolina Solberg,07,06,angle,C3,104022,4850,,8875,2,,,5.0,A
822,,point,,,,,4585,4683,4585,,07,07,,,104022,,,,2,,,,
823,6D,serve,jump_serve,!,1722,-126197,4585,4683,4585,MARIA Maria Elisa,07,07,,,104022,0779,,8654,2,,,6.0,D
824,6D,reception,right,!,1723,-126559,4683,4683,4585,April Ross,07,07,,,104022,0779,,8654,2,,,6.0,D
825,3C,set,~,#,1724,-126558,4683,4683,4585,Alexandra Klineman,07,07,,,104022,4337,,,2,,,3.0,C
826,7D,attack,hard,/,1726,-126559,4683,4683,4585,April Ross,07,07,jump_angle,X2,104022,4325,,7677,2,,,7.0,D
827,,block,,#,1726,-126222,4585,4683,4585,Carolina Carolina Solberg,07,07,,,104022,,,,2,,,,
828,,point,,,,,4585,4683,4585,,07,08,,,104022,,,,2,,,,
829,1A,serve,jump_serve,+,1749,-126197,4585,4683,4585,MARIA Maria Elisa,07,08,,,104022,0681,,8621,2,,,1.0,A
830,1A,reception,right,-,1750,-126558,4683,4683,4585,Alexandra Klineman,07,08,,,104022,0681,,8621,2,,,1.0,A
831,1D,set,~,#,1752,-126559,4683,4683,4585,April Ross,07,08,,,104022,1168,,,2,,,1.0,D
832,6A,attack,hard,-,1753,-126558,4683,4683,4585,Alexandra Klineman,07,08,peel,J5,104022,4188,,8640,2,,,6.0,A
833,,dig,,+,1754,-126197,4585,4683,4585,MARIA Maria Elisa,07,08,,,104022,4188,,8640,2,,on_spike,,
834,4A,set,~,-,1756,-126222,4585,4683,4585,Carolina Carolina Solberg,07,08,,,104022,3928,,,2,,,4.0,A
835,5C,attack,hard,=,1757,-126197,4585,4683,4585,MARIA Maria Elisa,07,08,line,J3,104022,4150,,7896,2,,,5.0,C
837,,point,,,,,4683,4683,4585,,08,08,,,104022,,,,2,,,,
838,5A,serve,jump_float,!,1786,-126559,4683,4683,4585,April Ross,08,08,,,104022,0979,,8376,2,,,5.0,A
839,5A,reception,middle,!,1786,-126222,4585,4683,4585,Carolina Carolina Solberg,08,08,,,104022,0979,,8376,2,,,5.0,A
840,7A,set,~,#,1788,-126197,4585,4683,4585,MARIA Maria Elisa,08,08,,,104022,2935,,,2,,,7.0,A
841,7A,attack,hard,/,1790,-126222,4585,4683,4585,Carolina Carolina Solberg,08,08,line,V1,104022,4814,,7472,2,,,7.0,A
842,,block,,#,1790,-126558,4683,4683,4585,Alexandra Klineman,08,08,,,104022,4883,,,2,,,,
843,,free_ball,,=,1790,-126222,4585,4683,4585,Carolina Carolina Solberg,08,08,,,104022,4620,,,2,,,,
844,,point,,,,,4683,4683,4585,,09,08,,,104022,,,,2,,,,
845,5A,serve,jump_float,-,1817,-126559,4683,4683,4585,April Ross,09,08,,,104022,0980,,8375,2,,,5.0,A
846,5A,reception,middle,+,1818,-126222,4585,4683,4585,Carolina Carolina Solberg,09,08,,,104022,0980,,8375,2,,,5.0,A
847,3B,set,~,#,1819,-126197,4585,4683,4585,MARIA Maria Elisa,09,08,,,104022,4651,,,2,,,3.0,B
848,9A,attack,pokey,#,1821,-126222,4585,4683,4585,Carolina Carolina Solberg,09,08,jump_line,X2,104022,4832,,7122,2,,,9.0,A
849,,block,,=,1821,-126558,4683,4683,4585,Alexandra Klineman,09,08,,,104022,,,,2,,,,
850,,point,,,,,4585,4683,4585,,09,09,,,104022,,,,2,,,,
851,5A,serve,jump_float,-,1848,-126222,4585,4683,4585,Carolina Carolina Solberg,09,09,,,104022,0785,,8472,2,,,5.0,A
852,5A,reception,left,#,1849,-126559,4683,4683,4585,April Ross,09,09,,,104022,0785,,8472,2,,,5.0,A
853,3B,set,~,#,1850,-126558,4683,4683,4585,Alexandra Klineman,09,09,,,104022,4555,,,2,,,3.0,B
854,1B,attack,shot,#,1852,-126559,4683,4683,4585,April Ross,09,09,line,X2,104022,4332,,8115,2,,,1.0,B
856,,point,,,,,4683,4683,4585,,10,09,,,104022,,,,2,,,,
857,6C,serve,jump_float,+,1876,-126558,4683,4683,4585,Alexandra Klineman,10,09,,,104022,0623,,8256,2,,,6.0,C
858,6C,reception,left,-,1877,-126197,4585,4683,4585,MARIA Maria Elisa,10,09,,,104022,0623,,8256,2,,,6.0,C
859,6B,set,~,#,1879,-126222,4585,4683,4585,Carolina Carolina Solberg,10,09,,,104022,2059,,,2,,,6.0,B
860,1B,attack,shot,#,1880,-126197,4585,4683,4585,MARIA Maria Elisa,10,09,jump_angle,J2,104022,3931,,7723,2,,,1.0,B
862,,point,,,,,4585,4683,4585,,10,10,,,104022,,,,2,,,,
863,9D,serve,jump_serve,!,1901,-126197,4585,4683,4585,MARIA Maria Elisa,10,10,,,104022,0474,,7625,2,,,9.0,D
864,9D,reception,low,!,1901,-126558,4683,4683,4585,Alexandra Klineman,10,10,,,104022,0474,,7625,2,,,9.0,D
865,2A,attack,pokey,#,1903,-126559,4683,4683,4585,April Ross,10,10,angle,C3,104022,4850,,6317,2,,,2.0,A
867,,point,,,,,4683,4683,4585,,11,10,,,104022,,,,2,,,,
868,6A,serve,jump_float,+,1983,-126559,4683,4683,4585,April Ross,11,10,,,104022,0982,,8538,2,,,6.0,A
869,6A,reception,middle,-,1984,-126197,4585,4683,4585,MARIA Maria Elisa,11,10,,,104022,0982,,8538,2,,,6.0,A
870,1A,set,~,-,1985,-126222,4585,4683,4585,Carolina Carolina Solberg,11,10,,,104022,1484,,,2,,,1.0,A
871,5A,attack,shot,+,1988,-126197,4585,4683,4585,MARIA Maria Elisa,11,10,line,V5,104022,4683,,8576,2,,,5.0,A
872,,block,,-,1988,-126558,4683,4683,4585,Alexandra Klineman,11,10,,,104022,,,,2,,,,
873,,dig,,=,1989,-126559,4683,4683,4585,April Ross,11,10,,,104022,4683,,8576,2,,emergency,,
875,,point,,,,,4585,4683,4585,,11,11,,,104022,,,,2,,,,
876,6D,serve,jump_float,+,2023,-126222,4585,4683,4585,Carolina Carolina Solberg,11,11,,,104022,0714,,8455,2,,,6.0,D
877,6D,reception,right,-,2024,-126559,4683,4683,4585,April Ross,11,11,,,104022,0714,,8455,2,,,6.0,D
878,1C,set,~,#,2025,-126558,4683,4683,4585,Alexandra Klineman,11,11,,,104022,2264,,,2,,,1.0,C
879,8D,attack,hard,+,2027,-126559,4683,4683,4585,April Ross,11,11,peel,V3,104022,4548,,7661,2,,,8.0,D
880,,dig,,-,2027,-126222,4585,4683,4585,Carolina Carolina Solberg,11,11,,,104022,4548,,7661,2,,on_spike,,
881,,free_ball,,#,2029,-126559,4683,4683,4585,April Ross,11,11,,,104022,2146,,,2,,,,
882,3B,set,~,#,2030,-126558,4683,4683,4585,Alexandra Klineman,11,11,,,104022,4460,,,2,,,3.0,B
883,6D,attack,shot,#,2032,-126559,4683,4683,4585,April Ross,11,11,angle,X3,104022,4254,,8754,2,,,6.0,D
885,,point,,,,,4683,4683,4585,,12,11,,,104022,,,,2,,,,
886,8A,serve,jump_float,#,2062,-126558,4683,4683,4585,Alexandra Klineman,12,11,,,104022,0954,5243,7339,2,let,,8.0,A
887,8A,reception,low,=,2063,-126197,4585,4683,4585,MARIA Maria Elisa,12,11,,,104022,0954,5243,7339,2,,,8.0,A
888,,point,,,,,4683,4683,4585,,13,11,,,104022,,,,2,,,,
889,3B,serve,jump_float,=,2084,-126558,4683,4683,4585,Alexandra Klineman,13,11,,,104022,0954,,5241,2,,,3.0,B
891,,point,,,,,4585,4683,4585,,13,12,,,104022,,,,2,,,,
892,6A,serve,jump_float,-,2103,-126197,4585,4683,4585,MARIA Maria Elisa,13,12,,,104022,0926,,8545,2,,,6.0,A
893,6A,reception,middle,+,2104,-126558,4683,4683,4585,Alexandra Klineman,13,12,,,104022,0926,,8545,2,,,6.0,A
894,3B,set,~,#,2106,-126559,4683,4683,4585,April Ross,13,12,,,104022,4659,,,2,,,3.0,B
895,9A,attack,shot,-,2107,-126558,4683,4683,4585,Alexandra Klineman,13,12,jump_angle,X2,104022,4832,,7217,2,,,9.0,A
896,,dig,,#,2108,-126197,4585,4683,4585,MARIA Maria Elisa,13,12,,,104022,4832,,7217,2,,emergency,,
897,3A,set,~,-,2109,-126222,4585,4683,4585,Carolina Carolina Solberg,13,12,,,104022,4052,,,2,,,3.0,A
898,9B,attack,hard,/,2111,-126197,4585,4683,4585,MARIA Maria Elisa,13,12,line,V5,104022,4885,,6823,2,,,9.0,B
899,,block,,#,2111,-126558,4683,4683,4585,Alexandra Klineman,13,12,,,104022,4720,,,2,,,,
900,,point,,,,,4683,4683,4585,,14,12,,,104022,,,,2,,,,
901,5D,serve,jump_float,/,2136,-126559,4683,4683,4585,April Ross,14,12,,,104022,0982,,8784,2,,,5.0,D
902,5D,reception,left,/,2137,-126222,4585,4683,4585,Carolina Carolina Solberg,14,12,,,104022,0982,,8784,2,,,5.0,D
903,,free_ball,,#,2139,-126559,4683,4683,4585,April Ross,14,12,,,104022,1943,,,2,,,,
904,3C,set,~,-,2140,-126558,4683,4683,4585,Alexandra Klineman,14,12,,,104022,4350,,,2,,,3.0,C
905,7A,attack,shot,#,2142,-126559,4683,4683,4585,April Ross,14,12,line,X1,104022,4820,,7174,2,,,7.0,A
907,,point,,,,,4683,4683,4585,,15,12,,,104022,,,,2,,,,
908,6A,serve,jump_float,=,2225,-126559,4683,4683,4585,April Ross,15,12,,,104022,0979,,9546,2,,,6.0,A
910,,point,,,,,4585,4683,4585,,15,13,,,104022,,,,2,,,,
911,8D,serve,jump_serve,!,2254,-126222,4585,4683,4585,Carolina Carolina Solberg,15,13,,,104022,0982,,7558,2,,,8.0,D
912,8D,reception,right,!,2255,-126559,4683,4683,4585,April Ross,15,13,,,104022,0982,,7558,2,,,8.0,D
913,9C,set,~,#,2256,-126558,4683,4683,4585,Alexandra Klineman,15,13,,,104022,3571,,,2,,,9.0,C
914,1A,attack,hard,-,2258,-126559,4683,4683,4585,April Ross,15,13,jump_angle,J3,104022,4055,,8419,2,,,1.0,A
915,,dig,,#,2258,-126197,4585,4683,4585,MARIA Maria Elisa,15,13,,,104022,4055,,8419,2,,on_spike,,
916,3C,set,~,#,2260,-126222,4585,4683,4585,Carolina Carolina Solberg,15,13,,,104022,4444,,,2,,,3.0,C
917,5C,attack,shot,=,2261,-126197,4585,4683,4585,MARIA Maria Elisa,15,13,peel,J3,104022,3853,,8298,2,,,5.0,C
919,,point,,,,,4683,4683,4585,,16,13,,,104022,,,,2,,,,
920,6D,serve,jump_float,!,2285,-126558,4683,4683,4585,Alexandra Klineman,16,13,,,104022,0926,,8359,2,,,6.0,D
921,6D,reception,low,!,2286,-126222,4585,4683,4585,Carolina Carolina Solberg,16,13,,,104022,0926,,8359,2,,,6.0,D
922,6B,set,~,#,2288,-126197,4585,4683,4585,MARIA Maria Elisa,16,13,,,104022,2158,,,2,,,6.0,B
923,5D,attack,hard,=,2289,-126222,4585,4683,4585,Carolina Carolina Solberg,16,13,peel,J2,104022,3931,,9590,2,,,5.0,D
925,,point,,,,,4683,4683,4585,,17,13,,,104022,,,,2,,,,
926,5A,serve,jump_float,-,2307,-126558,4683,4683,4585,Alexandra Klineman,17,13,,,104022,0926,,8370,2,,,5.0,A
927,5A,reception,left,+,2308,-126222,4585,4683,4585,Carolina Carolina Solberg,17,13,,,104022,0926,,8370,2,,,5.0,A
928,3C,set,~,#,2310,-126197,4585,4683,4585,MARIA Maria Elisa,17,13,,,104022,4540,,,2,,,3.0,C
929,4D,attack,shot,#,2311,-126222,4585,4683,4585,Carolina Carolina Solberg,17,13,jump_angle,X1,104022,4414,,6086,2,,,4.0,D
931,,point,,,,,4585,4683,4585,,17,14,,,104022,,,,2,,,,
932,6A,serve,jump_float,+,2332,-126197,4585,4683,4585,MARIA Maria Elisa,17,14,,,104022,0878,,8646,2,,,6.0,A
933,6A,reception,middle,-,2333,-126558,4683,4683,4585,Alexandra Klineman,17,14,,,104022,0878,,8646,2,,,6.0,A
934,7D,set,~,#,2335,-126559,4683,4683,4585,April Ross,17,14,,,104022,2814,,,2,,,7.0,D
935,4D,attack,pokey,-,2337,-126558,4683,4683,4585,Alexandra Klineman,17,14,line,V3,104022,4540,,6188,2,,,4.0,D
936,,dig,,#,2338,-126197,4585,4683,4585,MARIA Maria Elisa,17,14,,,104022,4540,,6188,2,,,,
937,3C,set,~,#,2339,-126222,4585,4683,4585,Carolina Carolina Solberg,17,14,,,104022,4741,,,2,,,3.0,C
938,5A,attack,hard,+,2341,-126197,4585,4683,4585,MARIA Maria Elisa,17,14,line,X1,104022,4517,,8468,2,,,5.0,A
939,,dig,,-,2341,-126559,4683,4683,4585,April Ross,17,14,,,104022,4517,,8468,2,,on_spike,,
940,,free_ball,,=,2343,-126197,4585,4683,4585,MARIA Maria Elisa,17,14,,,104022,1713,,,2,,,,
